,address,city,cuisines,latitude,longitude,name,postalcode,websites
1898,2216 S Atlantic Blvd,Los Angeles,Latin American Restaurants,34.00568,-118.16332,Sergio's Tacos,90040,
1899,2216 S Atlantic Blvd,Los Angeles,Latin American Restaurants,34.00568,-118.16332,Sergio's Tacos,90040,
1900,2216 S Atlantic Blvd,Los Angeles,Latin American Restaurants,34.00568,-118.16332,Sergio's Tacos,90040,
1901,2216 S Atlantic Blvd,Los Angeles,Latin American Restaurants,34.00568,-118.16332,Sergio's Tacos,90040,
1902,2216 S Atlantic Blvd,Los Angeles,Latin American Restaurants,34.00568,-118.16332,Sergio's Tacos,90040,
1903,3253 S Halsted St,Chicago,Mexican Restaurants,41.83481,-87.64621,Taqueria San Jose,60608,http://taqueriasanjose.com
1904,3253 S Halsted St,Chicago,Mexican Restaurants,41.83481,-87.64621,Taqueria San Jose,60608,http://taqueriasanjose.com
1906,5930 W Jefferson Blvd,Fort Wayne,Mexican Restaurants,41.061106744,-85.21691205,Cebolla's Mexican Grill,46804,http://cebollasmexgrill.com
1907,5930 W Jefferson Blvd,Fort Wayne,Mexican Restaurants,41.061106744,-85.21691205,Cebolla's Mexican Grill,46804,http://cebollasmexgrill.com
1908,5930 W Jefferson Blvd,Fort Wayne,Mexican Restaurants,41.061106744,-85.21691205,Cebolla's Mexican Grill,46804,http://cebollasmexgrill.com
1909,5930 W Jefferson Blvd,Fort Wayne,Mexican Restaurants,41.061106744,-85.21691205,Cebolla's Mexican Grill,46804,http://cebollasmexgrill.com
1910,5930 W Jefferson Blvd,Fort Wayne,Mexican Restaurants,41.061106744,-85.21691205,Cebolla's Mexican Grill,46804,http://cebollasmexgrill.com
1911,1512 N 13th St,Boise,Mexican Restaurants,43.629383,-116.20333,Parrilla Grill,83702,http://parrillagrillhydepark.com
1912,1512 N 13th St,Boise,Mexican Restaurants,43.629383,-116.20333,Parrilla Grill,83702,http://parrillagrillhydepark.com
1925,2021 University Ave,Berkeley,Mexican Restaurants,37.87199,-122.270065,El Burro Picante,94704,http://elburropicanteberkeley.com
1926,2021 University Ave,Berkeley,Mexican Restaurants,37.87199,-122.270065,El Burro Picante,94704,http://elburropicanteberkeley.com
1927,2021 University Ave,Berkeley,Mexican Restaurants,37.87199,-122.270065,El Burro Picante,94704,http://elburropicanteberkeley.com
1928,2021 University Ave,Berkeley,Mexican Restaurants,37.87199,-122.270065,El Burro Picante,94704,http://elburropicanteberkeley.com
1929,2021 University Ave,Berkeley,Mexican Restaurants,37.87199,-122.270065,El Burro Picante,94704,http://elburropicanteberkeley.com
1982,24635 Madison Ave,Murrieta,Mexican,33.563071489,-117.20722756,La Pasadita Taco Shop,92562,http://lapasaditatacoshop.com
1983,24635 Madison Ave,Murrieta,Mexican,33.563071489,-117.20722756,La Pasadita Taco Shop,92562,http://lapasaditatacoshop.com
